id_sensor,id_maquina,ts,vibracao,temperatura,velocidade_motor,dias_ultima_manutencao,falha,modelo,tipo,ultima_manutencao,cargo,idade,anomalia_score,anomalia_rank_pct,criticidade
1,10,2025-09-01 08:00:00,84.89,63.15,1348,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.6018088121525619,0.9939959973315544,Crítico
1,10,2025-09-01 08:01:00,45.42,54.43,2052,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4609340313073469,0.4416277518345564,Baixo
1,10,2025-09-01 08:02:00,44.95,67.28,2372,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.49320999129612886,0.6937958639092728,Baixo
1,10,2025-09-01 08:03:00,73.55,56.82,1927,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.48492837079760726,0.6430953969312875,Baixo
1,10,2025-09-01 08:04:00,73.09,46.4,2674,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4536485519605868,0.3609072715143429,Baixo
1,10,2025-09-01 08:05:00,78.8,49.72,2878,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4709020721829582,0.5350233488992662,Baixo
1,10,2025-09-01 08:06:00,61.32,43.73,2868,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4380376386380034,0.1894596397598399,Baixo
1,10,2025-09-01 08:07:00,53.87,62.22,2821,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4504111631878481,0.32354903268845897,Baixo
1,10,2025-09-01 08:08:00,85.62,59.88,3143,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.555452759299426,0.9452968645763843,Alto
1,10,2025-09-01 08:09:00,51.81,65.01,2176,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.46826225173458896,0.5090060040026685,Baixo
1,10,2025-09-01 08:10:00,78.63,48.18,2631,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4691529998551649,0.5170113408939293,Baixo
1,10,2025-09-01 08:11:00,66.21,37.28,3189,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.512089510637696,0.8012008005336891,Médio
1,10,2025-09-01 08:12:00,47.01,51.33,2899,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.44265657356780524,0.2448298865910607,Baixo
1,10,2025-09-01 08:13:00,67.47,45.39,1113,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.5488182898622832,0.9346230820547031,Alto
1,10,2025-09-01 08:14:00,31.93,43.28,3076,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.525834271017431,0.8645763842561708,Médio
1,10,2025-09-01 08:15:00,56.25,47.25,2492,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4218206475496925,0.014009339559706471,Baixo
1,10,2025-09-01 08:16:00,58.64,57.44,2882,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.435305484808804,0.15476984656437626,Baixo
1,10,2025-09-01 08:17:00,69.29,41.77,2337,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4504271985310328,0.32421614409606403,Baixo
1,10,2025-09-01 08:18:00,47.22,55.53,2408,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.43754406642505544,0.18412274849899934,Baixo
1,10,2025-09-01 08:19:00,69.52,52.69,2214,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4374469414235162,0.1827885256837892,Baixo
1,10,2025-09-01 08:20:00,65.82,60.77,3213,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.48723020313585336,0.6597731821214142,Baixo
1,10,2025-09-01 08:21:00,57.66,64.72,1926,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.47141549168907193,0.5383589059372915,Baixo
1,10,2025-09-01 08:22:00,38.25,47.51,2497,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.45908078340727887,0.41961307538358905,Baixo
1,10,2025-09-01 08:23:00,62.8,47.35,3093,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4595934610894387,0.4229486324216144,Baixo
1,10,2025-09-01 08:24:00,52.94,59.16,2325,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.43396672245245166,0.14142761841227486,Baixo
1,10,2025-09-01 08:25:00,57.51,52.07,2584,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.41842585888538886,0.00266844563042028,Baixo
1,10,2025-09-01 08:26:00,58.96,46.75,2899,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.4294676371565923,0.0847231487658439,Baixo
1,10,2025-09-01 08:27:00,67.74,54.98,2670,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33,0.43227009218134643,0.11874583055370247,Baixo
